vaccine,country_code,country,year,coverage
MCV1,KLE,kwale,2026,0
MCV1,KLE,kwale,2020,0
MCV1,KLE,kwale,2021,0
MCV1,KLE,kwale,2022,0
MCV1,KLE,kwale,2028,0
MCV1,KLE,kwale,2023,0
MCV1,LKP,laikipia,2018,0
MCV1,LKP,laikipia,2017,0
MCV1,LKP,laikipia,2025,0
MCV1,LKP,laikipia,2019,0
MCV1,LKP,laikipia,2026,0
MCV1,LKP,laikipia,2028,0
MCV1,LKP,laikipia,2027,0
MCV1,LKP,laikipia,2024,0
MCV1,LKP,laikipia,2020,0
MCV1,LKP,laikipia,2021,0
MCV1,LKP,laikipia,2016,0
MCV1,LKP,laikipia,2030,0
MCV1,LKP,laikipia,2013,0
MCV1,LKP,laikipia,2014,0
MCV1,LKP,laikipia,2022,0
MCV1,LKP,laikipia,2023,0
MCV1,LKP,laikipia,2015,0
MCV1,LKP,laikipia,2029,0
MCV1,LMU,lamu,2013,0
MCV1,LMU,lamu,2014,0
MCV1,LMU,lamu,2021,0
MCV1,LMU,lamu,2022,0
MCV1,LMU,lamu,2023,0
MCV1,LMU,lamu,2020,0
MCV1,LMU,lamu,2016,0
MCV1,LMU,lamu,2017,0
MCV1,LMU,lamu,2018,0
MCV1,LMU,lamu,2019,0
MCV1,LMU,lamu,2028,0
MCV1,LMU,lamu,2025,0
MCV1,LMU,lamu,2024,0
MCV1,LMU,lamu,2030,0
MCV1,LMU,lamu,2015,0
MCV1,LMU,lamu,2027,0
MCV1,LMU,lamu,2026,0
MCV1,LMU,lamu,2029,0
MCV1,MCH,machakos,2015,0
MCV1,MCH,machakos,2014,0
MCV1,MCH,machakos,2028,0
MCV1,MCH,machakos,2016,0
MCV1,MCH,machakos,2030,0
MCV1,MCH,machakos,2021,0
MCV1,MCH,machakos,2025,0
MCV1,MCH,machakos,2013,0
MCV1,MCH,machakos,2020,0
MCV1,MCH,machakos,2026,0
MCV1,MCH,machakos,2022,0
MCV1,MCH,machakos,2019,0
MCV1,MCH,machakos,2024,0
MCV1,MCH,machakos,2017,0
MCV1,MCH,machakos,2018,0
MCV1,MCH,machakos,2027,0
MCV1,MCH,machakos,2023,0
MCV1,MCH,machakos,2029,0
MCV1,MKU,makueni,2017,0
MCV1,MKU,makueni,2016,0
MCV1,MKU,makueni,2030,0
MCV1,MKU,makueni,2018,0
MCV1,MKU,makueni,2024,0
MCV1,MKU,makueni,2023,0
MCV1,MKU,makueni,2028,0
MCV1,MKU,makueni,2022,0
MCV1,MKU,makueni,2026,0
MCV1,MKU,makueni,2015,0
MCV1,MKU,makueni,2013,0
MCV1,MKU,makueni,2025,0
MCV1,MKU,makueni,2027,0
MCV1,MKU,makueni,2029,0
MCV1,MKU,makueni,2014,0
MCV1,MKU,makueni,2020,0
MCV1,MKU,makueni,2021,0
MCV1,MKU,makueni,2019,0
MCV1,MDR,mandera,2020,0
MCV1,MDR,mandera,2021,0
MCV1,MDR,mandera,2024,0
MCV1,MDR,mandera,2030,0
MCV1,MDR,mandera,2019,0
MCV1,MDR,mandera,2018,0
MCV1,MDR,mandera,2014,0
MCV1,MDR,mandera,2013,0
MCV1,MDR,mandera,2029,0
MCV1,MDR,mandera,2028,0
MCV1,MDR,mandera,2017,0
MCV1,MDR,mandera,2027,0
MCV1,MDR,mandera,2025,0
MCV1,MDR,mandera,2026,0
MCV1,MDR,mandera,2016,0
MCV1,MDR,mandera,2022,0
MCV1,MDR,mandera,2023,0
MCV1,MDR,mandera,2015,0
MCV1,MRS,marsabit,2023,0
MCV1,MRS,marsabit,2026,0
MCV1,MRS,marsabit,2016,0
MCV1,MRS,marsabit,2025,0
MCV1,MRS,marsabit,2022,0
MCV1,MRS,marsabit,2024,0
MCV1,MRS,marsabit,2030,0
MCV1,MRS,marsabit,2015,0
MCV1,MRS,marsabit,2027,0
MCV1,MRS,marsabit,2021,0
MCV1,MRS,marsabit,2020,0
MCV1,MRS,marsabit,2013,0
MCV1,MRS,marsabit,2014,0
MCV1,MRS,marsabit,2029,0
MCV1,MRS,marsabit,2019,0
MCV1,MRS,marsabit,2028,0
MCV1,MRS,marsabit,2017,0
MCV1,MRS,marsabit,2018,0
MCV1,MRU,meru,2026,0
MCV1,MRU,meru,2030,0
MCV1,MRU,meru,2025,0
MCV1,MRU,meru,2018,0
MCV1,MRU,meru,2017,0
MCV1,MRU,meru,2024,0
MCV1,MRU,meru,2023,0
MCV1,MRU,meru,2027,0
MCV1,MRU,meru,2029,0
MCV1,MRU,meru,2016,0
MCV1,MRU,meru,2028,0
MCV1,MRU,meru,2014,0
MCV1,MRU,meru,2015,0
MCV1,MRU,meru,2020,0
MCV1,MRU,meru,2013,0
MCV1,MRU,meru,2022,0
MCV1,MRU,meru,2019,0
MCV1,MRU,meru,2021,0
MCV1,MIG,migori,2025,0
MCV1,MIG,migori,2024,0
MCV1,MIG,migori,2030,0
MCV1,MIG,migori,2026,0
MCV1,MIG,migori,2021,0
MCV1,MIG,migori,2027,0
MCV1,MIG,migori,2028,0
MCV1,MIG,migori,2013,0
MCV1,MIG,migori,2014,0
MCV1,MIG,migori,2015,0
MCV1,MIG,migori,2016,0
MCV1,MIG,migori,2017,0
MCV1,MIG,migori,2018,0
MCV1,MIG,migori,2019,0
MCV1,MIG,migori,2020,0
MCV1,MIG,migori,2029,0
MCV1,MIG,migori,2022,0
MCV1,MIG,migori,2023,0
MCV1,MSA,mombasa,2013,0
MCV1,MSA,mombasa,2014,0
MCV1,MSA,mombasa,2015,0
MCV1,MSA,mombasa,2018,0
MCV1,MSA,mombasa,2019,0
MCV1,MSA,mombasa,2020,0
MCV1,MSA,mombasa,2021,0
MCV1,MSA,mombasa,2022,0
MCV1,MSA,mombasa,2023,0
MCV1,MSA,mombasa,2029,0
MCV1,MSA,mombasa,2025,0
MCV1,MSA,mombasa,2026,0
MCV1,MSA,mombasa,2027,0
MCV1,MSA,mombasa,2017,0
MCV1,MSA,mombasa,2024,0
MCV1,MSA,mombasa,2028,0
MCV1,MSA,mombasa,2016,0
MCV1,MSA,mombasa,2030,0
MCV1,MGA,murang'a,2013,0
MCV1,MGA,murang'a,2018,0
MCV1,MGA,murang'a,2015,0
MCV1,MGA,murang'a,2023,0
MCV1,MGA,murang'a,2017,0
MCV1,MGA,murang'a,2019,0
MCV1,MGA,murang'a,2022,0
MCV1,MGA,murang'a,2016,0
MCV1,MGA,murang'a,2026,0
MCV1,MGA,murang'a,2029,0
MCV1,MGA,murang'a,2014,0
MCV1,MGA,murang'a,2030,0
MCV1,MGA,murang'a,2025,0
MCV1,MGA,murang'a,2027,0
MCV1,MGA,murang'a,2020,0
MCV1,MGA,murang'a,2024,0
MCV1,MGA,murang'a,2021,0
MCV1,MGA,murang'a,2028,0
MCV1,NBO,nairobi,2014,0
MCV1,NBO,nairobi,2019,0
MCV1,NBO,nairobi,2020,0
MCV1,NBO,nairobi,2026,0
MCV1,NBO,nairobi,2018,0
MCV1,NBO,nairobi,2015,0
MCV1,NBO,nairobi,2013,0
MCV1,NBO,nairobi,2030,0
MCV1,NBO,nairobi,2025,0
MCV1,NBO,nairobi,2029,0
MCV1,NBO,nairobi,2021,0
MCV1,NBO,nairobi,2024,0
MCV1,NBO,nairobi,2028,0
MCV1,NBO,nairobi,2016,0
MCV1,NBO,nairobi,2027,0
MCV1,NBO,nairobi,2022,0
MCV1,NBO,nairobi,2023,0
MCV1,NBO,nairobi,2017,0
MCV1,NKU,nakuru,2016,0
MCV1,NKU,nakuru,2023,0
MCV1,NKU,nakuru,2015,0
MCV1,NKU,nakuru,2026,0
MCV1,NKU,nakuru,2017,0
MCV1,NKU,nakuru,2018,0
MCV1,NKU,nakuru,2027,0
MCV1,NKU,nakuru,2030,0
MCV1,NKU,nakuru,2025,0
MCV1,NKU,nakuru,2022,0
MCV1,NKU,nakuru,2024,0
MCV1,NKU,nakuru,2029,0
MCV1,NKU,nakuru,2014,0
MCV1,NKU,nakuru,2020,0
MCV1,NKU,nakuru,2021,0
MCV1,NKU,nakuru,2028,0
MCV1,NKU,nakuru,2013,0
MCV1,NKU,nakuru,2019,0
MCV1,NDI,nandi,2020,0
MCV1,NDI,nandi,2013,0
MCV1,NDI,nandi,2019,0
MCV1,NDI,nandi,2030,0
MCV1,NDI,nandi,2026,0
MCV1,NDI,nandi,2021,0
MCV1,NDI,nandi,2027,0
MCV1,NDI,nandi,2018,0
MCV1,NDI,nandi,2025,0
MCV1,NDI,nandi,2017,0
MCV1,NDI,nandi,2029,0
MCV1,NDI,nandi,2028,0
MCV1,NDI,nandi,2023,0
MCV1,NDI,nandi,2024,0
MCV1,NDI,nandi,2022,0
MCV1,NDI,nandi,2016,0
MCV1,NDI,nandi,2014,0
MCV1,NDI,nandi,2015,0
MCV1,ROK,narok,2030,0
MCV1,ROK,narok,2016,0
MCV1,ROK,narok,2024,0
MCV1,ROK,narok,2023,0
MCV1,ROK,narok,2013,0
MCV1,ROK,narok,2026,0
MCV1,ROK,narok,2017,0
MCV1,ROK,narok,2015,0
MCV1,ROK,narok,2027,0
MCV1,ROK,narok,2014,0
MCV1,ROK,narok,2025,0
MCV1,ROK,narok,2029,0
MCV1,ROK,narok,2028,0
MCV1,ROK,narok,2022,0
MCV1,ROK,narok,2018,0
MCV1,ROK,narok,2019,0
MCV1,ROK,narok,2020,0
MCV1,ROK,narok,2021,0
MCV1,NYA,nyamira,2013,0
MCV1,NYA,nyamira,2030,0
MCV1,NYA,nyamira,2014,0
MCV1,NYA,nyamira,2015,0
MCV1,NYA,nyamira,2016,0
MCV1,NYA,nyamira,2017,0
MCV1,NYA,nyamira,2018,0
MCV1,NYA,nyamira,2029,0
MCV1,NYA,nyamira,2028,0
MCV1,NYA,nyamira,2019,0
MCV1,NYA,nyamira,2026,0
MCV1,NYA,nyamira,2021,0
MCV1,NYA,nyamira,2025,0
MCV1,NYA,nyamira,2023,0
MCV1,NYA,nyamira,2020,0
MCV1,NYA,nyamira,2024,0
MCV1,NYA,nyamira,2022,0
MCV1,NYA,nyamira,2027,0
MCV1,NDR,nyandarua,2015,0
MCV1,NDR,nyandarua,2019,0
MCV1,NDR,nyandarua,2017,0
MCV1,NDR,nyandarua,2018,0
MCV1,NDR,nyandarua,2013,0
MCV1,NDR,nyandarua,2030,0
MCV1,NDR,nyandarua,2016,0
MCV1,NDR,nyandarua,2026,0
MCV1,NDR,nyandarua,2022,0
MCV1,NDR,nyandarua,2020,0
MCV1,NDR,nyandarua,2027,0
MCV1,NDR,nyandarua,2021,0
